zillow_id,area_unit,bathrooms,bedrooms,home_size,home_type,last_sold_date,last_sold_price,link,price,property_size,rent_price,rentzestimate_amount,rentzestimate_last_updated,tax_value,tax_year,year_built,zestimate_amount,zestimate_last_updated,address,city,state,zipcode
19880101,SqFt,2.0,4,1928.0,SingleFamily,12/19/2017,1275000.0,https://www.zillow.com/homedetails/23262-Gonzales-Dr-Woodland-Hills-CA-91367/19880101_zpid/,1270000.0,19544.0,,3500.0,08/07/2018,94799.0,2017,1953.0,723729.0,08/07/2018,23262 Gonzales Dr,Woodland Hills,CA,91367
19881445,SqFt,3.0,4,2.0,SingleFamily,01/26/2017,810000.0,https://www.zillow.com/homedetails/23711-Clarendon-St-Woodland-Hills-CA-91367/19881445_zpid/,810000.0,10890.0,,3600.0,08/07/2018,790000.0,2017,1962.0,953824.0,08/07/2018,23711 Clarendon St,Woodland Hills,CA,91367
19882639,SqFt,4.0,4,3000.0,SingleFamily,02/02/2017,2076500.0,https://www.zillow.com/homedetails/5949-Clear-Valley-Rd-Hidden-Hills-CA-91302/19882639_zpid/,2080000.0,43995.0,,8999.0,08/07/2018,1838109.0,2017,1955.0,2366597.0,08/07/2018,5949 Clear Valley Rd,Hidden Hills,CA,91302
19882694,SqFt,5.0,5,4100.0,SingleFamily,03/30/2017,2796000.0,https://www.zillow.com/homedetails/6051-Spring-Valley-Rd-Hidden-Hills-CA-91302/19882694_zpid/,2800000.0,164221.0,,9735.0,08/07/2018,1515162.0,2017,1954.0,,01/01/1970,6051 Spring Valley Rd,Hidden Hills,CA,91302
19882716,SqFt,8.0,5,4490.0,SingleFamily,07/10/2002,961000.0,https://www.zillow.com/homedetails/5873-Fitzpatrick-Rd-Hidden-Hills-CA-91302/19882716_zpid/,2800000.0,42932.0,,10077.0,08/07/2018,1423403.0,2017,1962.0,3229805.0,08/07/2018,5873 Fitzpatrick Rd,Hidden Hills,CA,91302
19882718,SqFt,4.0,5,3361.0,SingleFamily,09/15/2017,2370000.0,https://www.zillow.com/homedetails/5885-Fitzpatrick-Rd-Hidden-Hills-CA-91302/19882718_zpid/,2370000.0,47916.0,,8900.0,08/07/2018,1431672.0,2017,1962.0,2677690.0,08/07/2018,5885 Fitzpatrick Rd,Hidden Hills,CA,91302
19882743,SqFt,4.0,6,4021.0,SingleFamily,12/14/2016,2725000.0,https://www.zillow.com/homedetails/5303-Round-Meadow-Rd-Hidden-Hills-CA-91302/19882743_zpid/,2730000.0,66924.0,,9493.0,08/07/2018,2725000.0,2017,1955.0,3100504.0,08/07/2018,5303 Round Meadow Rd,Hidden Hills,CA,91302
19882762,SqFt,4.0,4,3004.0,SingleFamily,08/03/2017,2625000.0,https://www.zillow.com/homedetails/24645-Wingfield-Rd-Hidden-Hills-CA-91302/19882762_zpid/,2620000.0,44744.0,,9219.0,08/07/2018,521632.0,2017,1952.0,2823690.0,08/07/2018,24645 Wingfield Rd,Hidden Hills,CA,91302
19882763,SqFt,2.0,4,2263.0,SingleFamily,03/28/2018,2575000.0,https://www.zillow.com/homedetails/24629-Wingfield-Rd-Hidden-Hills-CA-91302/19882763_zpid/,2580000.0,43043.0,,10000.0,08/07/2018,2034729.0,2017,1960.0,2617942.0,08/07/2018,24629 Wingfield Rd,Hidden Hills,CA,91302
19882780,SqFt,4.0,5,3443.0,SingleFamily,04/30/2018,2900000.0,https://www.zillow.com/homedetails/5686-Round-Meadow-Rd-Hidden-Hills-CA-91302/19882780_zpid/,2900000.0,72091.0,,9480.0,08/07/2018,1154337.0,2017,1955.0,2943629.0,08/07/2018,5686 Round Meadow Rd,Hidden Hills,CA,91302
19882794,SqFt,4.0,4,3026.0,SingleFamily,06/28/2017,2400000.0,https://www.zillow.com/homedetails/24400-Little-Valley-Rd-Hidden-Hills-CA-91302/19882794_zpid/,2400000.0,76040.0,,8824.0,08/07/2018,224304.0,2017,1956.0,2665378.0,08/07/2018,24400 Little Valley Rd,Hidden Hills,CA,91302
19882797,SqFt,4.0,4,2236.0,SingleFamily,07/03/2018,2499000.0,https://www.zillow.com/homedetails/5808-Hilltop-Rd-Hidden-Hills-CA-91302/19882797_zpid/,2500000.0,46752.0,,8999.0,08/07/2018,1683000.0,2017,1957.0,2509847.0,08/07/2018,5808 Hilltop Rd,Hidden Hills,CA,91302
19882814,SqFt,3.0,4,2637.0,SingleFamily,06/07/2018,2200000.0,https://www.zillow.com/homedetails/24140-Lupin-Hill-Rd-Hidden-Hills-CA-91302/19882814_zpid/,2200000.0,68810.0,,7633.0,08/07/2018,198107.0,2017,1963.0,2240522.0,08/07/2018,24140 Lupin Hill Rd,Hidden Hills,CA,91302
19882827,SqFt,4.0,4,4343.0,SingleFamily,02/07/2017,2900000.0,https://www.zillow.com/homedetails/5625-Penland-Rd-Hidden-Hills-CA-91302/19882827_zpid/,2900000.0,79279.0,,10195.0,08/07/2018,703575.0,2017,1976.0,3283281.0,08/07/2018,5625 Penland Rd,Hidden Hills,CA,91302
19882839,SqFt,6.0,6,5157.0,SingleFamily,06/14/2016,2832000.0,https://www.zillow.com/homedetails/24350-Long-Valley-Rd-Hidden-Hills-CA-91302/19882839_zpid/,2830000.0,50094.0,,12421.0,08/07/2018,2888640.0,2017,1985.0,3359785.0,08/07/2018,24350 Long Valley Rd,Hidden Hills,CA,91302
19882972,SqFt,4.0,5,3073.0,SingleFamily,03/21/2018,2060000.0,https://www.zillow.com/homedetails/24563-John-Colter-Rd-Hidden-Hills-CA-91302/19882972_zpid/,12000.0,53665.0,,8999.0,08/07/2018,1661374.0,2017,1981.0,2149541.0,08/07/2018,24563 John Colter Rd,Hidden Hills,CA,91302
